,orgA_id,orgB_id,ks,pval,orgA_label,orgB_label,correct
779,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.023511588421241528,0.9511412704546196,9,9,True
1098,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.03251598207993557,0.2936857392138377,0,0,True
42,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,e7430e901370dfe1261df560c6a25570a228eeeb7df0670082aab87fabe61ffe,0.03604319478402608,0.9541664358027562,13,13,True
1031,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.03613956396257551,0.1799577075328321,0,0,True
1092,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.03861211526922007,0.12944409201057017,0,0,True
393,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.042148329939471804,0.11259104401257237,12,4,False
521,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.0472932641535424,0.06592599869101134,4,4,True
664,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.05737536469177228,0.1508042991660781,2,2,True
2264,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,993c595c9faa6118dc047a55fe80cc8b0c676913c325e471b6f04fd7e641163e,0.061083743842364535,0.9311837957641151,8,8,True
792,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.06235855093727075,0.06319220419209311,9,2,False
580,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.0630762219703432,0.002684670541365965,4,0,False
586,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.06494001687967205,0.00199539304780721,4,0,False
519,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.06746513126200744,0.0010164039486619944,4,0,False
1264,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.06885637546714742,0.0001383307567306909,1,5,False
391,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.07010387467395036,0.00031777833062792993,12,0,False
458,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.07412177985948477,0.00013550219976022482,12,0,False
452,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.07412255362172311,0.00011713433270401438,12,0,False
387,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.07877368533106238,0.00025809706751695957,12,12,True
2133,2af1863322e5ff7bca144acc446f41a60f9f4b0806773298d4789d9d0f8f5bff,6dd8f7bf1b910097e55682df69a4c9432193c8386b216b9297ab7ced0f13da8e,0.08116710875331565,0.7467677871913443,11,11,True
1033,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.08196380462815914,3.0253816680233646e-05,0,4,False
651,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.08691921268569998,0.003937095786702964,2,9,False
1154,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,5389646ea08918451bdc1763a116fe00b1f1f19e32ea1840595e4f31f0bc57ad,0.09814416666130774,2.724219716007583e-10,1,1,True
