,creator_name,platform_type,creation_time,label
48762,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 02:05:06,3
464,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:06:12,4
42368,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 02:06:36,5
63371,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:06:47,1
22027,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:07:10,1
108238,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:07:35,4
111487,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:08:41,12
17156,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:08:45,4
67469,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:10:40,1
48753,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:10:52,1
31539,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:11:05,1
54696,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,telegram,2024-06-08 02:11:32,13
5207,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 02:13:02,5
67067,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:13:31,1
36015,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:13:40,12
1376,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 02:14:45,0
45330,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 02:15:22,14
83505,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:16:33,4
3502,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:17:26,4
109698,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:17:28,1
51115,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:18:17,4
19158,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:18:39,1
42293,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:19:26,12
93428,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 02:23:57,5
58431,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:24:28,1
90908,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 02:24:28,3
79233,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:26:12,12
60006,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 02:26:54,0
87720,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 02:29:04,1
102138,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:29:08,4
93952,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 02:29:24,5
10343,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 02:31:53,5
98321,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:32:06,12
35546,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 02:32:42,4
17313,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 02:34:44,12
62566,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 03:21:41,12
58348,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:22:45,5
22070,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 03:24:03,1
71704,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:24:19,3
6968,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 03:25:03,14
44128,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:26:17,3
56775,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:27:05,5
49364,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 03:27:40,12
6991,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:28:06,4
108619,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 03:29:00,12
32703,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 03:29:49,14
12183,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 03:31:55,0
103189,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:34:17,5
73809,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:34:33,4
104970,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:37:20,4
106298,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 03:39:56,1
67767,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:42:13,3
22733,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:43:29,5
34452,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 03:43:54,0
51843,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:45:23,4
91654,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:45:49,5
64269,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:48:46,4
44977,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 03:49:50,14
8923,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 03:54:56,14
77575,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:55:01,3
50551,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:55:01,3
92373,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 03:55:22,3
8588,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 03:56:00,4
101844,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 03:56:01,1
69959,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 03:56:23,5
115859,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 03:57:38,0
46358,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 03:59:16,14
100567,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 04:02:24,0
42074,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 04:02:35,12
93659,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 04:03:31,12
61229,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 04:05:13,4
69761,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 04:05:36,14
104943,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 04:10:03,3
51782,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 04:14:26,4
90659,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 04:15:02,3
34526,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 04:16:13,5
4844,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 04:18:29,5
110133,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 04:22:41,3
87010,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 04:22:45,4
4505,aad0f6701a88482eb26d5aa8b06e9d33eb1e3a7bcc4b96da58cd6fa28cc69126,telegram,2024-06-08 04:37:27,16
31664,aad0f6701a88482eb26d5aa8b06e9d33eb1e3a7bcc4b96da58cd6fa28cc69126,telegram,2024-06-08 05:07:06,16
47496,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:15:41,3
108316,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 06:16:11,1
77286,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:17:16,3
82710,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:18:23,3
119072,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 06:18:59,5
97187,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 06:19:42,14
62692,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:20:10,3
15117,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 06:20:30,4
46091,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:21:10,0
79312,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:21:42,3
79916,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:22:12,3
36926,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 06:23:27,14
55257,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 06:25:50,5
15265,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:28:17,0
101714,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 06:29:45,14
66300,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 06:30:11,4
59037,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:34:24,3
54151,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 06:35:19,12
110553,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 06:35:46,1
46228,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:37:00,3
18841,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:40:02,0
14679,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 06:40:18,5
35316,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:42:14,3
1831,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 06:43:47,4
22213,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:45:06,0
107817,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:53:29,3
29218,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:54:35,0
73885,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,telegram,2024-06-08 06:55:15,1
43148,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 06:56:32,4
99894,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,telegram,2024-06-08 06:57:09,12
7851,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 06:57:20,0
101673,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,telegram,2024-06-08 06:57:53,14
119343,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,telegram,2024-06-08 06:58:13,3
21327,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 06:58:44,5
89270,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 07:02:18,0
10570,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,telegram,2024-06-08 07:02:46,5
116883,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,telegram,2024-06-08 07:04:20,0
97374,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,telegram,2024-06-08 07:07:15,4
27546,aad0f6701a88482eb26d5aa8b06e9d33eb1e3a7bcc4b96da58cd6fa28cc69126,telegram,2024-06-08 07:07:32,16
